BEDS,BATH,SQFT_LOG,ZIPCODE,SUBLOCALITY,BROKERTITLE,TYPE,LATITUDE,LONGITUDE,PRICE_CATEGORY
4,3.0,3.339293966003392,11375,Queens County,Other,Multi-family home for sale,40.7093093,-73.8548324,Mid
3,2.0,3.0492180226701815,11208,Kings County,Fave Realty Inc,House for sale,40.6697595,-73.8692311,Mid
4,2.0,3.339293966003392,11367,Queens County,Century Homes Realty Group LLC,Multi-family home for sale,40.7369795,-73.8140379,Mid
3,2.0,3.1818435879447726,11375,Queens County,Keller Williams Realty Staten Island,House for sale,40.7157274,-73.8563447,Mid
5,4.0,3.339293966003392,11421,Queens County,Keller Williams Realty Liberty,Pending,40.6960034,-73.8584205,Mid
4,2.0,3.225309281725863,10302,Richmond County,Robert Defalco Realty Inc.,Multi-family home for sale,40.6314894,-74.1348461,Mid
2,2.0,2.926856708949692,11221,Brooklyn,Corcoran Bedford Stuyvesant,Condo for sale,40.6886854,-73.9402301,Mid
2,1.0,2.92272545799326,10304,Staten Island,American Homes Group,Condo for sale,40.6315346,-74.0856344,Cheap
2,1.0,2.929418925714293,11216,Brooklyn,Brown Harris Stevens - 129 Montague Street,Condo for sale,40.6813996,-73.9537521,Mid
1,1.0,3.339293966003392,11372,Queens,Century Homes Realty Group LLC,Co-op for sale,40.7505242,-73.8847507,Cheap
3,2.0,3.339293966003392,10463,The Bronx,TREBACH REALTY INC,Co-op for sale,40.8799728,-73.9221419,Mid
5,4.0,3.6020599913279625,10471,The Bronx,Douglas Elliman - 3544 Johnson Ave,House for sale,40.9057349,-73.9111699,Mid
5,2.0,3.311753861055754,10306,Richmond County,"Ed Bruno Realty, LLC",Contingent,40.5582716,-74.1160817,Mid
1,1.0,3.339293966003392,10022,New York,Spire Group Inc.- Main Office,Co-op for sale,40.754143,-73.963502,Mid
